@relation data

@attribute timestamp String
@attribute speed String
@attribute status String
@attribute place String
@attribute day_of_the_week String

@data
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'noon', '0-5', 'Still', 'undefined', 'Tuesday'
'afternoon', '0-5', 'Still', 'undefined', 'Tuesday'
'afternoon', '0-5', 'Still', 'undefined', 'Tuesday'
'afternoon', '0-5', 'Still', 'undefined', 'Tuesday'
'afternoon', '0-5', 'Still', 'undefined', 'Tuesday'
'afternoon', '0-5', 'Still', 'undefined', 'Tuesday'
'afternoon', '0-5', 'Still', 'undefined', 'Tuesday'
'afternoon', '0-5', 'Still', 'undefined', 'Tuesday'
'afternoon', '0-5', 'Still', 'undefined', 'Tuesday'
'afternoon', '0-5', 'Still', 'undefined', 'Tuesday'
'afternoon', '0-5', 'Still', 'undefined', 'Tuesday'
'afternoon', '0-5', 'Still', 'undefined', 'Tuesday'
'afternoon', '0-5', 'Still', 'undefined', 'Tuesday'
'night', '0-5', 'Still', 'undefined', 'Tuesday'
'night', '0-5', 'Still', 'undefined', 'Tuesday'
'night', '0-5', 'Still', 'undefined', 'Tuesday'
'night', '0-5', 'Still', 'undefined', 'Tuesday'
'late_night', '0-5', 'Still', 'undefined', 'Wednessday'
'late_night', '0-5', 'Still', 'Home', 'Wednessday'
'late_night', '0-5', 'Still', 'Home', 'Wednessday'
'late_night', '0-5', 'Still', 'Home', 'Wednessday'
'late_night', '0-5', 'Still', 'Home', 'Wednessday'
'late_night', '0-5', 'Still', 'Home', 'Wednessday'
'late_night', '0-5', 'Still', 'Home', 'Wednessday'
'late_night', '0-5', 'Sleeping', 'Home', 'Wednessday'
'forenoon', '0-5', 'Wake Up', 'undefined', 'Thursday'
'forenoon', '0-5', 'Still', 'undefined', 'Thursday'
'forenoon', '15-50', 'Still', 'undefined', 'Thursday'
'forenoon', '0-5', 'Still', 'Home', 'Thursday'
'forenoon', '0-5', 'Still', 'Home', 'Thursday'
'noon', '0-5', 'Walking', 'Home', 'Thursday'
'noon', '5-15', 'Walking', 'Home', 'Thursday'
'noon', '0-5', 'Walking', 'undefined', 'Thursday'
'noon', '0-5', 'Walking', 'undefined', 'Thursday'
'noon', '0-5', 'Walking', 'undefined', 'Thursday'
'noon', '5-15', 'Walking', 'undefined', 'Thursday'
'noon', '0-5', 'Still', 'undefined', 'Thursday'
'noon', '5-15', 'Vehicle', 'undefined', 'Thursday'
'noon', '15-50', 'Vehicle', 'undefined', 'Thursday'
'noon', '50-120', 'Vehicle', 'undefined', 'Thursday'
'noon', '15-50', 'Vehicle', 'undefined', 'Thursday'
'noon', '0-5', 'Vehicle', 'undefined', 'Thursday'
'noon', '5-15', 'Still', 'undefined', 'Thursday'
'noon', '0-5', 'Still', 'undefined', 'Thursday'
'noon', '0-5', 'Still', 'undefined', 'Thursday'
'noon', '0-5', 'Still', 'undefined', 'Thursday'
'noon', '0-5', 'Still', 'undefined', 'Thursday'
'noon', '0-5', 'Still', 'undefined', 'Thursday'
'noon', '15-50', 'Vehicle', 'undefined', 'Thursday'
'noon', '50-120', 'Still', 'undefined', 'Thursday'
'noon', '0-5', 'Still', 'undefined', 'Thursday'
'noon', '15-50', 'Vehicle', 'undefined', 'Thursday'
'noon', '5-15', 'Vehicle', 'Home', 'Thursday'
'noon', '0-5', 'Walking', 'Home', 'Thursday'
'noon', '0-5', 'Walking', 'Home', 'Thursday'
'noon', '0-5', 'Walking', 'Home', 'Thursday'
'noon', '0-5', 'Walking', 'Home', 'Thursday'
'noon', '5-15', 'Walking', 'Home', 'Thursday'
'noon', '0-5', 'Still', 'Home', 'Thursday'
'noon', '0-5', 'Still', 'Home', 'Thursday'
'noon', '0-5', 'Still', 'Home', 'Thursday'
